Comment,Sentiment,Themes,Date,Store,LEGACY - App Version,Score,Response contains,LEGACY - Device,LEGACY - Andriod OS Version,LEGACY - Topics,LEGACY - Custom Topics,Sentiment
"Good product, good company, awful app, slow, clunky, and no fingerprint authentication",0.24,"'authentication : touch id' , 'app quality : terrible app' , 'app functionality : slow'",01/12/2018,Google Play,2.4.1,2,"Good product, good company, awful app, slow, clunky, and no fingerprint authentication",Google Pixel 3 XL,28, , ,0.24
Awful,-0.89,'other',06/04/2019,Google Play,2.4.1,1,Awful,,0,,,-0.89
Absolutely brilliant bank and app. Very helpful customer service who respond to any queries instantly. Would highly recommend.,0.4,"'customer support : customer service' , 'works well : quick' , 'customer support : help'",19/07/2019,Google Play,2.6.3,5,Absolutely brilliant bank and app. Very helpful customer service who respond to any queries instantly. Would highly recommend.,,1,,,0.4
Really easy to use and set up fixed rate account. Like the choice of login methods. Great interest rates considering the financial markets. Thanks.,0.44,"'app functionality : app set up' , 'app design : options' , 'app functionality : easy to use' , 'interest rates : fixed rate' , 'interest rates : good rate of interest' , 'authentication : logging in'",28/08/2018,Google Play,2.3,5,Really easy to use and set up fixed rate account. Like the choice of login methods. Great interest rates considering the financial markets. Thanks.,,0,,,0.44
Great app,0.59,'app quality : great app',20/02/2019,Google Play,2.4.1,5,Great app,,0,,,0.59
"Straightforward, worked first time and every time since. No issues at all - would recommend. Easy and secure.",0.63,"'app functionality : easy and secure' , 'app functionality : secure'",08/03/2017,Google Play,1.5.2,4,"Straightforward, worked first time and every time since. No issues at all - would recommend. Easy and secure.",,0,,,0.63
"One of the worst apps I've ever seen. Basically it's not a mobile app, but 
a very badly designed mobile web page. The terrible app makes me wonder if 
I should trust Atom. Want to build a mibile only challenger bank? Build a 
great app first!! SO many good examples around!!",-0.07,"'app quality : very poor' , 'app quality : great app' , 'app quality : terrible app'",25/05/2018,Google Play,2.2.2,1,"One of the worst apps I've ever seen. Basically it's not a mobile app, but 
a very badly designed mobile web page. The terrible app makes me wonder if 
I should trust Atom. Want to build a mibile only challenger bank? Build a 
great app first!! SO many good examples around!!",,4,,,-0.07
Works perfectly on Nexus 6. No issues.,0.55,'works well : worked perfectly',31/07/2017,Google Play,1.8,5,Works perfectly on Nexus 6. No issues.,,1,,,0.55
Still a few glitches to iron out but I am hopeful that they can be fixed quickly,0.06,'works well : quick',20/09/2016,Google Play,1.2.3,4,Still a few glitches to iron out but I am hopeful that they can be fixed quickly,,0,,,0.06
"I nearly didn't open an account with Atom having read some of the reviews of the app.  Decided to take the plunge, and all was fine.  Sure, the animations are probably a little unnecessary and the 'bubble' based menu was slightly confusing when I first saw it, but sure I'll get used to it.    Went through the account opening flawlessly, face and voice recognition completed without any problems.  Hopefully I won't have the problem I have with just about every other bank whereby I forget the completely unintelligible user ID they assign to me.  My phone is  a Moto X 2014 running Android 6.",-0.05,"'account admin : atom account' , 'account admin : opening an account' , 'authentication : biometrics' , 'authentication : voice recognition'",01/11/2016,Google Play,1.2.4,4,"I nearly didn't open an account with Atom having read some of the reviews of the app.  Decided to take the plunge, and all was fine.  Sure, the animations are probably a little unnecessary and the 'bubble' based menu was slightly confusing when I first saw it, but sure I'll get used to it.    Went through the account opening flawlessly, face and voice recognition completed without any problems.  Hopefully I won't have the problem I have with just about every other bank whereby I forget the completely unintelligible user ID they assign to me.  My phone is  a Moto X 2014 running Android 6.",,0,,,-0.05
"Will update once it doesn't hang at a colourful background screen on android 7.1, still excited to open an account though",-0.2,"'account admin : opening an account' , 'updates and versions : latest version'",29/10/2016,Google Play,1.2.4,1,"Will update once it doesn't hang at a colourful background screen on android 7.1, still excited to open an account though",,0,,,-0.2
"Got as far as entering country of residence and was unable to go further as 
nothing on the screen to press to enter it. Complete waste of time, 
excellent interest rate, hopeless app. Off to find a competitor now",-0.86,"'interest rates : interest rates' , 'app quality : waste of time'",29/06/2018,Google Play,2.2.4,1,"Got as far as entering country of residence and was unable to go further as 
nothing on the screen to press to enter it. Complete waste of time, 
excellent interest rate, hopeless app. Off to find a competitor now",Samsung Galaxy Tab A (2016)/Galaxy Tab A 10.1 SM-T580/SM-T580X,24,"Bugs, Design & UX, Dissatisfied users, Internationalization",,-0.86
