Comment,Sentiment,Themes,Date,Score,Sentiment
"App unreliability is being sorted. Since downloading the app, on 4 occasions it has crashed (""unable to verify your system, please try later"") meaning I had to delete the app; re-download; and re-do/re-enter all my biometrics.

On Monday of this week, I called to get it sorted, was told ""No need to ever delete/re-do everything, just call"".

Which I did today when - after just 3 days working - I again had the same message with no login or navigation options, just a frozen screen.

Just off the phone to be told ""you will in fact have to delete and reinstall""

Now - my iPhone6+ running iOS10 has not changed since Monday when I could log in (after a phone call) - I've never encountered a worse banking app in my entire life - totally unreliable, one day it might let you in, another not.    None of my other banking apps have ever failed to let me access login screen/options - only this one.      I'm going to start a diary on twitter on a daily basis to record when it does/does not work.

* update *

After 2 conversations with call centre, I found the bank to be genuinely concerned to find out why this happened and to try and fix my problem.",-0.01,"'use the app : banking apps' , 'atom : range of products' , 'authentication : biometrics' , 'customer service : call centre' , 'use the app : delete the app' , 'downloading : download the app' , 'app design : navigation' , 'updates : updates'",09/12/2016,3,-0.01
"Happy customer. I opened an Atom savings account yesterday and found it very easy , I spoke to Atom on chat and found them very helpful and friendly , I know it's early days but at moment would recommend this bank . Brian",0.3,"'savings account : savings account' , 'ease of use : easy to use' , 'customer service : friendly' , 'customer service : helpful staff'",27/02/2017,5,0.3
Very poor service. Trying to open an account with their app is painful. Maybe in year or two if they are still on the horizon it might be worth looking again at this fledgling bank. Hopefully by then their systems will be more robust and you might even be able to use your laptop instead of just mobile phones.,-0.23,"'opening accounts : open an account' , 'device : mobile phone' , 'overall experience : very poor' , 'customer service : poor service'",27/02/2017,2,-0.23
SIMPLE NO NONSENSE ACCOUNT. Used my I-pad to open the account and found it very simple and easy to use. no issues with the app. as it went through very easily without any hitches. Received immediate confirmation of my account being opened and was immediately able to make a deposit with a 7 day window to put more money in. It was weird having to download a picture of myself and record my voice onto the account for security reasons but even that was straight forward. Its a new bank but it is covered by the FSCS so not too worried.,0.06,"'opening accounts : open an account' , 'customer activity : make my deposit' , 'ease of use : straightforward process' , 'ease of use : easy to use' , 'app quality : app issues' , 'authentication : voice recognition'",28/02/2017,5,0.06
"Poor service - but getting better?. Tried to open an account and all seemed to work up to a point when everything seemed to hang and I could go no further. Used their system to speak to Mathew. He was useless and just left me saying someone else would speak to me after he reported a bug in their system. 
nothing happened. Seems they might be running before they learn to walk. I'm not impressed!

Since writing the above I received a phone call from Atom and they talked me through the process, resulting in an account being opened. I have now opened the account - a fixed rate bond - so I won't need to do anything more for a year now. The good thing is that you are covered by FSCS so no worries. At the moment you can't get a better rate in the market.",0.22,"'opening accounts : open an account' , 'savings account : fixed rate bond' , 'customer service : call centre' , 'interest rates : competitive interest rates' , 'interest rates : better rates' , 'customer service : poor service'",01/03/2017,3,0.22
Opened new account easily yesterday.Will it stand the test of time.. Yesterday morning from downloading the App to opening an account. No glitches. I hope it delivers over the long term. Looking good so far. Only 4 stars due to limited access .ie only by smartphone.,0.29,"'opening accounts : easy to open an account' , 'opening accounts : open an account' , 'downloading : download the app'",06/03/2017,4,0.29
"APP ONLY WORKS INTERMITENTLY. IF you look up atom bank on a windows computer it freezes the computer. 
APP only works on android or apple device opened my account on my Ipad
next day I have tried to get into the account to fund it and it froze the device.",-0.07,"'device : account on ipad' , 'opening accounts : open an account' , 'device : android' , 'device : apple' , 'device : ipad' , 'use the app : app sometimes works'",06/03/2017,2,-0.07
"Nice app on iOS and straightforward setup and funding of account.. Given the market leading interest rate, I decided to invest some money in a 1yr bond. Opening the account was straightforward from the iOS app, and the funding the account was pretty easy as well. I'm not sure about all the ""making the app your own"" by changing the colours. Not for me really. Only 4* as I haven't got my money + interest back yet.",0.12,"'opening accounts : easy to open an account' , 'customer activity : funds to the account' , 'opening accounts : open an account' , 'app design : aesthetics' , 'device : apple' , 'interest rates : competitive interest rates' , 'ease of use : easy to setup' , 'app quality : great app' , 'customer activity : invest some money'",06/03/2017,4,0.12
USELESS. Have today tried to open a 1 year fixed rate account at 2%. App told me I couldn't. Called their helpline number and was told there could be  a number of reasons for this. The main one seemed to be my current account was too old. First time in 34 years any bank and I have a number of accounts has refused to take Monet off me.,-0.32,"'accounts : current account' , 'customer service : call centre' , 'opening accounts : open fixed saver' , 'savings account : year fixed rate' , 'savings account : fixed term savings' , 'device : phone number'",09/03/2017,1,-0.32
Easy to open on my android phone.. I didn't have any problems opening my fixed rate bond and was pleased to find I could make 3 separate payments when my declined my first payment.,0.6,"'device : android' , 'savings account : fixed rate bond' , 'device : mobile phone' , 'ease of use : easy to open'",09/03/2017,4,0.6
App worked like magic for me and couldn't have been easier. No problems encountered whatsoever. It was intuitive and easy to set up. Great Login choice offered and interest rate is top.,0.88,"'atom : range of products' , 'ease of use : easy to setup' , 'interest rates : interest rates' , 'use the app : app sometimes works'",10/03/2017,5,0.88
"This is the future of Banking - NOW. Had a problem opening an account on my Android phone (due to big fingers and small keys, I think) but on an iPad the app worked fine for me. It uses face recognition, voice recognition and passwords which suits me better than having to find and use those card-readers as I usually have my voice and face with me! It only offers Savings and Mortgages but my Fixed Account gives me 3 times the interest offered by Nationwide and 10 times that of Lloyds! I like the idea of it being more like a games console than a traditional dull banking site and being able to chat to staff online or by phone 24/7 is great (other banks are available which close for the weekend!). It's new and isn't for everyone but I really do think that in the future all banks will be (and will have to be) like this. One downside: the face recognition (which isn't compulsory) keeps reminding me how ugly I am! As it's still small, it's refreshing to phone them and be on first name terms with someone who actually remembered me from our last conversation; my current international bank has a call centre in the Phillipines so not only do they not recognise me but often they don't understand me! Atom Staff are helpful and usually know the answers; if they don't, they email you back. Atom Bank will soon be the nucleus of my savings; it's elemental!!",0.05,"'opening accounts : open an account' , 'device : android' , 'use the app : mobile apps' , 'customer service : staff at atom' , 'atom : future of banking' , 'atom : great bank' , 'customer service : call centre' , 'device : mobile phone' , 'authentication : face recognition' , 'authentication : face and voice' , 'customer service : helpful staff' , 'device : ipad' , 'device : app on my phone' , 'use the app : app sometimes works' , 'customer service : staff' , 'authentication : voice recognition' , 'website : website'",11/03/2017,5,0.05
